Q_10_25_5_601	Q_10_25_5_602	Q_10_25_5_603	Q_10_25_5_604	Q_10_25_5_605	Q_10_25_5_606
0	0	0	0	0	0
1864.02484098163	1779.4532772165	1768.02319002028	4027.19441864688	2185.65801954041	866.64446652905
2184.47446266364	1718.11736338842	1739.19002698965	2183.59384422644	1789.44327374034	1731.90425661451
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1179.02703961071	0	0	1740.17035051826
0	0	0	0	0	0
0	0	0	0	0	0
3793.15685316461	1155.8862661948	1159.68997897666	3797.19622373239	1169.70009908947	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1764.19645675816	1754.02783933996	1186.67973324474	1785.14780133521	1761.92695909999
0	0	0	0	0	0
4446.57079044923	4186.84961017893	0	1239.17455521063	460	0
0	0	0	0	1180.83069292742	0
0	0	0	0	0	0
0	0	0	0	0	0
3501.32719787461	0	0	3469.08194268176	0	4594.51934436155
0	0	0	0	0	0
0	0	0	0	0	0
1764.53843317809	0	1559.00978354296	1765.03770869966	1176.99564170712	0
0	0	0	0	0	0
2680.16321563404	3706.3203620457	3707.3537878627	0	4187.61365433924	3708.46156627658
0	0	0	2515.76944514839	0	3706.7770438038
0	0	0	0	0	0
0	0	0	0	0	0
0	20.2260775952551	4393.86453117264	0	4313.27906868995	4863.04214809843
0	0	0	0	0	0
0	0	0	0	0	0
0	19.9213006843365	0	0	0	0
0	0	0	0	0	0
2791.89811843701	3707.0584872457	3485.15973414882	2773.36512293696	3941.72211315253	3484.87448133555
3940.89247929837	3488.50325470245	3485.75273278952	0	3483.90952286324	3485.81685306774
0	0	0	0	0	0
0	0	0	0	0	0
4594.39451555395	4625.12038992224	4624.09667232394	4618.23342726758	0	3485.81716885963
0	0	0	0	0	0
0	0	0	0	0	0
20.5520513481176	722.944602941807	722.944602941807	0	0	5037.13412627239
0	0	0	0	0	0
2906.4883253596	3484.87727389204	3273.19773490958	2906.13873111816	3707.58152574389	3273.56711279009
3707.57387813758	3484.93332306968	3274.32778164355	3707.22748589485	3706.32459907652	3274.89547868531
0	0	0	0	0	0
0	0	0	0	0	0
4866.64153029136	3274.37036130979	4867.44365464696	0	4855.65506144155	3274.89364844596
0	0	0	0	0	0
0	0	0	0	0	0
1073.96221300686	0	760.994318886112	0	0	0
0	0	0	0	0	0
3484.87609860172	3073.02449123755	3076.8616668909	3485.16490085129	0	3076.27873825134
3485.14366451863	3075.88953209313	3074.79981972858	3484.8771401579	3485.44452108133	3075.89181392485
0	0	0	0	0	0
2790.95335156959	0	0	2791.01093614052	3484.87529164786	3072.57312219052
722.944602941807	801.046651459064	5063.32598207547	722.944602941807	0	4621.02941221778
0	0	0	0	0	0
0	0	0	0	0	0
3274.3784130731	3073.78314353171	2886.83074749021	3274.33703435243	3274.37960760738	2886.83074749021
0	0	0	0	0	0
3273.20569501918	3075.43244290992	0	3273.26300330911	3273.43426171267	2881.84425108938
3274.33441212939	4863.89602226325	4864.17482884995	3274.3704466772	4810.14032880962	4863.7256056949
0	0	0	0	0	0
2887.43470135978	1528.146974812	1527.95411407689	2883.20586118477	3273.16505473664	0
0	647.457504154995	0	722.944602941819	0	0
0	0	0	0	0	0
0	0	3829.75953826611	0	0	4428.20424692601
3074.81768298009	2703.09120268691	2705.84702749446	3074.07798015235	3079.80106852694	2703.07941948747
0	0	0	0	0	0
3072.83586692616	1446.72459229614	2703.74506153681	3072.54812382451	3074.1958343546	1446.67118711585
5373.51091060684	647.457504154995	0	0	0	0
0	0	0	0	0	0
1613.83872041478	0	0	0	0	0
2886.28492911861	2526.70428233439	2526.70428233439	2886.83165397037	0	0
0	0	0	0	0	0
2885.64700266551	1369.2413073428	1369.2413073428	2882.40822985841	1367.45509810334	1369.29919183718
4074.53748919394	0	0	0	2885.72317808362	0
0	0	0	0	0	0
1524.14650082083	1369.29919183933	1369.29919183718	1524.35430197137	2879.96343871508	1369.31799613941
0	0	2358.51812906783	2702.83554194454	0	0
0	0	0	0	0	0
2189.90532303011	0	0	0	0	0
1446.55504391844	0	0	1446.7313379961	0	828.86469573093
0	0	0	0	0	0
1446.67499908201	828.862240517531	828.862240517531	1446.65728271814	1446.68373286206	1295.27464264097
0	0	0	2526.74178138884	0	0
0	0	0	0	0	0
0	1294.29358505226	1369.31335852909	2038.42651247663	2693.96289724916	1293.9026246117
1185.58664566306	0	0	0	0	0
0	0	0	0	0	0
1292.90367450625	1295.65319808982	1295.83899285574	1294.89782122563	1369.31564948115	1295.61193365647
1295.02784787058	836.075103501194	837.425655160758	1295.40473952759	835.118914979858	829.435094322206
0	0	0	0	0	0
4013.26091982765	3785.61378999093	1192.28781797115	4010.20541443678	4026.7347374014	3129.46416280454
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
