Q_7actions_10_25_5_601	Q_7actions_10_25_5_602	Q_7actions_10_25_5_603	Q_7actions_10_25_5_604	Q_7actions_10_25_5_605	Q_7actions_10_25_5_606	Q_7actions_10_25_5_607
0	0	0	0	0	0	0
235.518895126186	270.919563104075	251.779416971441	234.451181604117	252.382884847286	0	251.942850123413
234.900520901488	251.776533938908	251.74659918822	0	233.466358888677	235.710463648663	235.226878555884
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	235.65649270225	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	1061.13182844545	1003.03366500223
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	1239.57516141306	0	1122.75021031942	133.333333333333	1122.74675917825	0
0	0	218.077149020876	1122.84161947926	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
893.69247763876	800	1003.03366372925	0	1003.03366372924	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1062.27093927459	1187.14438319283	1187.12925432241	0	1187.30071423235	1062.27093920249	1122.75185199278
0	1187.21623511426	1187.2020073428	0	0	1060.83118635085	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
842.581372691133	0	947.337585426401	0	0	0	893.953139141677
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	1122.64169921002	0	1060.84927617882
0	0	0	0	0	0	0
0	0	830.788676285211	1002.24930395016	1122.67889473029	1002.45145585189	1061.66294595791
1004.76513079412	0	1122.70666251125	0	1122.84161007166	1005.25119140154	1060.98429797727
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	893.633945156801	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	887.237256938681	887.122123427322	947.490360056102	1060.95047619246	946.722572715659	1002.26095372983
948.928958285194	1061.17428853039	1060.88650368683	948.928961910175	1062.72254192505	846.068329592393	1005.2941931546
0	0	0	0	0	0	0
0	0	0	0	0	0	0
896.837628577469	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	1004.40764803871	0	0	0	0	948.975680336578
0	0	0	0	0	0	0
894.512325969055	1002.24442153685	1002.23053673017	894.512292984171	1002.25852281968	894.551047370327	0
895.832153274308	1003.33437366554	846.068329592394	845.570332534368	846.068329592394	894.503325090891	947.491914211885
0	0	0	0	0	0	0
0	0	312.535134633443	0	0	271.375248660349	0
845.619522158049	0	0	0	948.928958285194	0	896.563453483651
0	0	0	0	0	0	0
0	0	0	0	0	0	0
