Q_act_10_25_5_601	Q_act_10_25_5_602	Q_act_10_25_5_603	Q_act_10_25_5_604	Q_act_10_25_5_605	Q_act_10_25_5_606
0	0	0	0	0	0
1507.69080690516	1728.60341945428	1728.9033736364	1507.69085304656	1729.64124643078	1615.06329139126
1407.09964677645	1509.66244937929	1617.60831919248	1407.09964717351	1521.48481965592	1515.06650309049
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	1507.6908253602	0
0	0	0	0	0	0
0	0	0	0	0	0
966.204766472499	1511.31476772205	0	966.11644285285	1403.45932447649	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	1407.43205588112	0
0	0	0	0	0	0
0	0	2729.26815645932	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	1046.87128936181	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1124.13193107786	0	1308.22168360773	0	0	0
0	0	0	0	0	0
2258.17391481955	2562.64308834771	0	2259.8868927271	0	2259.83888851253
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
968.351759672725	0	0	0	1039.05014059191	1124.1677955289
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1214.08628258399	0	0	0
0	0	0	0	0	0
2117.3191701006	0	0	2122.20891539609	2408.29123352315	0
0	2406.55441801024	0	0	0	2119.50458129888
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1049.2131715844	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1985.89432465006	1984.92171496049	0	2259.90337297201	0
1989.7139042322	0	0	2119.70914165789	2258.24188299587	1989.13778926605
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1859.46317563862	2118.91236087364	0	0	0	1858.67621061032
0	2122.20918376556	2117.40463332849	1863.20007316028	0	1859.29518003018
0	0	0	0	0	0
0	0	1618.63755928596	0	2119.58715156832	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1738.14537618193	1988.94997442277	1989.13906785959	0	1988.92017895323	1738.02686949728
0	0	0	0	0	0
1738.0266032803	1985.74481645014	1985.5672602613	1738.14522073102	0	1734.59260482155
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	1505.89246826373
0	0	0	0	0	0
0	0	0	0	0	0
1618.23567150272	1858.67621061032	0	0	1858.70294591076	0
0	1858.68576726338	1859.78429432224	1618.54995966877	1864.27838585383	1618.55974028812
0	0	0	0	0	0
1619.96258227513	0	1400.98435659638	1619.41513966364	1859.7842726369	1401.64534807468
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1619.95018238541	1401.43258965296	0	0
1506.928227974	1738.14178979704	1738.14778034271	1505.05430381396	0	1505.05430381396
0	0	0	0	0	0
1508.8001486304	1736.19308628511	1734.10203780957	1509.4379541123	1732.72200899226	1300.81065486432
1514.74631567551	0	0	0	1738.14745674418	1508.80202977231
0	0	0	0	0	0
0	0	1508.44988670307	1300.81065486432	0	0
0	1618.56061241298	1618.27513200058	1506.7266604063	1618.24951196299	1405.22105521243
0	0	0	0	0	0
0	0	0	0	0	0
1411.37737686964	1623.06772046712	1616.86437535038	1509.54992014567	1618.21637627531	1400.59601243916
0	0	0	0	0	0
1400.53549149122	0	0	1403.59618437163	0	0
0	1505.05430381396	0	0	0	1401.51611669819
0	0	0	0	0	0
0	0	0	0	0	0
1402.7703002494	0	1509.505766204	1400.75738847702	1513.70996204463	1400.53549149122
0	0	0	0	0	0
0	0	0	0	0	0
1401.86456186659	1401.29527686731	1400.98566094036	1400.60109672116	1509.01736937655	1402.98768135155
0	0	0	0	0	0
1615.61546661932	1849.55866527332	1850.53567523395	1622.68021140055	1728.62496297604	1849.52616328984
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1849.79957175364	0	0	2728.97027250935	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2259.75770323123	1977.63827378791	1977.64207034375	1984.97834041826	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1851.40891251084	1861.39221379347	2118.71122705896	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1988.60517185626	1985.23652631957	1986.13898142438	0	0	1510.75695834937
0	0	0	0	0	0
0	0	0	0	0	0
0	1732.93708843339	0	1510.73044061567	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1618.63786616044	0	0	0	1619.78026220299
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1734.47665774601	0	1300.67064689387	1734.37356975621	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1619.77431746852	0	1619.76612797337	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1728.74939770674	1540.28325593982	1524.4260022262	1728.61549996105	1849.45229320635	1977.64910526485
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2096.30978513145	0	1538.25566532424	1977.53273601993	0	1851.19708465066
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
